pageUrl ; nbTotal_pages ; nbTotal_nbMedias ; nbTotal_nbImports ; nbTotal_nbLinks ; nbTotal_linksEvents ;nbTotal_events 
http://www.telecom-st-etienne.fr/;1;22;3;38;128;176
http://www.telecom-st-etienne.fr/index.php;2;22;3;38;128;176
