pageURL ; page_nbLinks ; nbTotal_linksEvent ; nb_EventLibrary[jQuery] ; nb_EventLibrary[Autres]; nb_EventType[Click];nb_EventType[Keydown] 
http://www.telecom-st-etienne.fr/;38;128;59;117;125;0
http://www.telecom-st-etienne.fr/index.php;38;128;59;117;125;0
